NORAD Catalog Number		Name
42863	,	FLOCK 2K-08
42864	,	FLOCK 2K-05
42865	,	FLOCK 2K-40
42866	,	FLOCK 2K-39
42867	,	FLOCK 2K-37
42868	,	FLOCK 2K-38
42869	,	FLOCK 2K-31
42870	,	FLOCK 2K-32
42871	,	FLOCK 2K-29
42872	,	FLOCK 2K-30
42873	,	FLOCK 2K-44
42874	,	FLOCK 2K-43
42875	,	FLOCK 2K-41
42876	,	FLOCK 2K-36
42877	,	FLOCK 2K-35
42878	,	FLOCK 2K-34
42879	,	FLOCK 2K-33
42880	,	FLOCK 2K-28
42881	,	LEMUR-2-ARTFISCHER
42882	,	FLOCK 2K-27
42883	,	FLOCK 2K-26
42884	,	FLOCK 2K-25
42885	,	FLOCK 2K-20
42886	,	FLOCK 2K-19
42887	,	FLOCK 2K-18
42888	,	FLOCK 2K-17
42889	,	FLOCK 2K-16
42890	,	FLOCK 2K-15
42891	,	FLOCK 2K-13
42892	,	FLOCK 2K-14
42893	,	FLOCK 2K-12
42894	,	FLOCK 2K-11
42895	,	FLOCK 2K-10
42896	,	FLOCK 2K-09
42897	,	FLOCK 2K-06
42900	,	OPTSAT-3000
42901	,	VENUS
42903	,	SILU-1 (SILKROAD 1)
42907	,	COSMOS 2520
42910	,	TOMSK-TPU 120
42911	,	TANYUSHA 1
42912	,	TANYUSHA 2
42913	,	SFERA 2
42914	,	TNS 0-2
42915	,	TDRS 13
42917	,	QZS-3
42919	,	COSMOS 2521
42920	,	FORMOSAT-5
42921	,	ORS-5 SENSORSAT
42932	,	OTV 5 (USA 277)
42934	,	AMAZONAS 5
42937	,	SOYUZ-MS 06
42939	,	COSMOS 2522 [GLONASS-M]
42941	,	USA 278
42942	,	ASIASAT 9
42945	,	YAOGAN-30 A
42946	,	YAOGAN-30 B
42947	,	YAOGAN-30 C
42949	,	USA 279
42950	,	INTELSAT 37E (IS-37E)
42951	,	BSAT-4A
42954	,	VRSS-2
42955	,	IRIDIUM 133
42956	,	IRIDIUM 100
42957	,	IRIDIUM 122
42958	,	IRIDIUM 129
42959	,	IRIDIUM 119
42960	,	IRIDIUM 107
42961	,	IRIDIUM 132
42962	,	IRIDIUM 136
42963	,	IRIDIUM 139
42964	,	IRIDIUM 125
42965	,	QZS-4 (MICHIBIKI-4)
42967	,	SES-11 (ECHOSTAR 105)
42969	,	SENTINEL-5P
42971	,	PROGRESS-MS 07
42982	,	KESTREL EYE IIM (KE2M)
42983	,	SIMPL
42984	,	KOREASAT 5A
42986	,	COSMOS 2523
42987	,	SKYSAT-C11
42988	,	SKYSAT-C10
42989	,	SKYSAT-C9
42990	,	SKYSAT-C8
42991	,	SKYSAT-C7
42992	,	SKYSAT-C6
42995	,	FLOCK 3M-1
42996	,	FLOCK 3M-3
42997	,	FLOCK 3M-4
42998	,	FLOCK 3M-2
43001	,	BEIDOU-3 M1
43002	,	BEIDOU-3 M2
43005	,	MOHAMMED VI-A
43010	,	FENGYUN 3D
43011	,	HEAD-1
43013	,	NOAA 20
43014	,	BUCCANEER RMM
43015	,	MIRATA
43016	,	MAKERSAT 0
43017	,	RADFXSAT (FOX-1B)
43018	,	EAGLESAT 1
43019	,	ECAMSAT
43020	,	ASTERIA
43021	,	DELLINGR (RBLE)
43022	,	JILIN-01-04
43023	,	JILIN-01-05
43024	,	JILIN-01-06
43026	,	TECHEDSAT 6
43027	,	OSIRIS-3U
43028	,	YAOGAN-30 D
43029	,	YAOGAN-30 E
43030	,	YAOGAN-30 F
43032	,	COSMOS 2524
43034	,	LKW-1
43039	,	ALCOMSAT 1
43041	,	LEMUR-2-ROCKETJONAH
43042	,	AEROCUBE 7B
43043	,	AEROCUBE 7C
43044	,	CHEFSAT
43045	,	LEMUR-2-YONGLIN
43046	,	LEMUR-2-KEVIN
43047	,	LEMUR-2-BRIANDAVIE
43048	,	LEMUR-2-ROMACOSTE
43049	,	ASGARDIA 1
43050	,	ISARA
43051	,	LEMUR-2-MCCULLAGH
43052	,	FAUNA
43053	,	LEMUR-2-DUNLOP
43054	,	LEMUR-2-LIU-POU-CHUN
43055	,	GSAT0215 (GALILEO 19)
43056	,	GSAT0216 (GALILEO 20)
43057	,	GSAT0217 (GALILEO 21)
43058	,	GSAT0218 (GALILEO 22)
43063	,	SOYUZ-MS 07
43065	,	GCOM-C (SHIKISAI)
43066	,	SLATS (TSUBAME)
43070	,	IRIDIUM 135
43071	,	IRIDIUM 138
43072	,	IRIDIUM 116
43073	,	IRIDIUM 130
43074	,	IRIDIUM 151
43075	,	IRIDIUM 134
43076	,	IRIDIUM 137
43077	,	IRIDIUM 141
43078	,	IRIDIUM 153
43079	,	IRIDIUM 131
43080	,	LKW-2
43081	,	YAOGAN-30 G
43082	,	YAOGAN-30 H
43083	,	YAOGAN-30 J
43087	,	ANGOSAT 1
43098	,	USA 280 (ZUMA)
43099	,	SUPERVIEW-1 03
43100	,	SUPERVIEW-1 04
43107	,	BEIDOU-3 M3
43108	,	BEIDOU-3 M4
43111	,	CARTOSAT-2F
43113	,	LEO VANTAGE 1
43114	,	ICEYE X1
43115	,	CARBONITE 2
43116	,	OBJECT F
43117	,	OBJECT G
43118	,	CORVUS BC3
43119	,	FLOCK 3P'-3
43120	,	FLOCK 3P'-2
43121	,	FLOCK 3P'-1
43122	,	FLOCK 3P'-4
43123	,	LEMUR-2-MCCAFFERTY
43124	,	LEMUR-2-PETERWEBSTER
43125	,	LEMUR-2-BROWNCOW
43126	,	LEMUR-2-DAVEWILSON
43127	,	OBJECT S
43128	,	MICROSAT-TD
43130	,	ARKYD 6A
43131	,	PICSAT
43132	,	MICROMAS-2A
43133	,	OBJECT Y
43134	,	OBJECT Z
43135	,	OBJECT AA
43136	,	OBJECT AB
43137	,	FOX-1D (AO-92)
43138	,	STEP CUBE LAB
43139	,	SPACEBEE-4
43140	,	SPACEBEE-3
43141	,	SPACEBEE-2
43142	,	SPACEBEE-1
43143	,	CICERO 7
43144	,	TYVAK-61C
43145	,	USA 281
43146	,	LKW-3
43152	,	ASNARO-2
43155	,	OBJECT A
43156	,	OBJECT B
43157	,	OBJECT C
43158	,	OBJECT D
43159	,	OBJECT E
43160	,	OBJECT F
43162	,	SBIRS GEO-4 (USA 282)
43163	,	DOVE PIONEER
43165	,	LEMUR-2-MARSHALL
43167	,	LEMUR-2-TALLHAMN-ATC
43168	,	HUMANITY STAR
43169	,	WEINA 1A
43170	,	YAOGAN-30 K
43171	,	YAOGAN-30 L
43172	,	YAOGAN-30 M
43174	,	AL YAH 3
43175	,	SES-14
43178	,	SES-16 (GOVSAT-1)
43180	,	KANOPUS-V 3
43181	,	KANOPUS-V 4
43182	,	LEMUR-2-JIN-LUEN
43183	,	LEMUR-2-URAMCHANSOL
43184	,	LEMUR-2-ADI
43185	,	LEMUR-2-THENICKMOLO
43186	,	OBJECT G
43187	,	OBJECT H
43188	,	OBJECT J
43189	,	OBJECT K
43190	,	OBJECT L
43192	,	FENGMANIU-1 (FMN-1)
43194	,	ZHANGZHENG-1 (CSES)
43195	,	NUSAT-4 (ADA)
43196	,	GOMX4-B
43197	,	GOMX4-A
43199	,	SHAONIAN XING
43201	,	TRICOM-1R (TASUKI)
43204	,	NUSAT-5 (MARYAM)
43205	,	TESLA ROADSTER
43207	,	BEIDOU-3 M5
43208	,	BEIDOU-3 M6
43211	,	PROGRESS-MS 08
